time_us,event,node_id,packet_id,details_json
18812500,tx_start,6,5481,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18813816,packet_delivered,6,5481,"{""kind"": ""voice"", ""latency_us"": 1318}"
18816000,tx_start,2,5482,"{""airtime_us"": 484, ""kind"": ""heartbeat""}"
18816484,packet_delivered,2,5482,"{""kind"": ""heartbeat"", ""latency_us"": 486}"
18816484,heartbeat_received,2,5482,{}
18820000,voice_frame_generated,1,5483,"{""sequence"": 591}"
18820000,queue_depth,1,,"{""depth"": 1}"
18820000,tx_start,1,5483,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18821316,packet_delivered,1,5483,"{""kind"": ""voice"", ""latency_us"": 1318}"
18822500,voice_frame_generated,2,5484,"{""sequence"": 941}"
18822500,queue_depth,2,,"{""depth"": 1}"
18822500,tx_start,2,5484,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18823816,packet_delivered,2,5484,"{""kind"": ""voice"", ""latency_us"": 1318}"
18825000,voice_frame_generated,3,5485,"{""sequence"": 941}"
18825000,queue_depth,3,,"{""depth"": 1}"
18825000,tx_start,3,5485,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18826316,packet_delivered,3,5485,"{""kind"": ""voice"", ""latency_us"": 1318}"
18827500,voice_frame_generated,4,5486,"{""sequence"": 941}"
18827500,queue_depth,4,,"{""depth"": 1}"
18827500,tx_start,4,5486,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18828816,packet_delivered,4,5486,"{""kind"": ""voice"", ""latency_us"": 1318}"
18830000,voice_frame_generated,5,5487,"{""sequence"": 941}"
18830000,queue_depth,5,,"{""depth"": 1}"
18830000,tx_start,5,5487,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18831316,packet_delivered,5,5487,"{""kind"": ""voice"", ""latency_us"": 1318}"
18832500,voice_frame_generated,6,5488,"{""sequence"": 941}"
18832500,queue_depth,6,,"{""depth"": 1}"
18832500,tx_start,6,5488,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18833816,packet_delivered,6,5488,"{""kind"": ""voice"", ""latency_us"": 1318}"
18840000,voice_frame_generated,1,5489,"{""sequence"": 592}"
18840000,queue_depth,1,,"{""depth"": 1}"
18840000,tx_start,1,5489,"{""airtime_us"": 1316, ""kind"": ""voice""}"
18841316,packet_delivered,1,5489,"{""kind"": ""voice"", ""latency_us"": 1318}"
18842500,voice_frame_generated,2,5490,"{""sequence"": 942}"
18842500,queue_depth,2,,"{""depth"": 1}"
18842500,tx_start,2,5490,"{""airtime_us"": 1316, ""kind"": ""voice""}"
