time_us,event,node_id,packet_id,details_json
47520000,queue_depth,1,,"{""depth"": 1}"
47520000,tx_start,1,14733,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47521316,packet_delivered,1,14733,"{""kind"": ""voice"", ""latency_us"": 1318}"
47522500,voice_frame_generated,2,14734,"{""sequence"": 2376}"
47522500,queue_depth,2,,"{""depth"": 1}"
47522500,tx_start,2,14734,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47523816,packet_delivered,2,14734,"{""kind"": ""voice"", ""latency_us"": 1318}"
47525000,voice_frame_generated,3,14735,"{""sequence"": 2376}"
47525000,queue_depth,3,,"{""depth"": 1}"
47525000,tx_start,3,14735,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47526316,packet_delivered,3,14735,"{""kind"": ""voice"", ""latency_us"": 1318}"
47527500,voice_frame_generated,4,14736,"{""sequence"": 2376}"
47527500,queue_depth,4,,"{""depth"": 1}"
47527500,tx_start,4,14736,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47528816,packet_delivered,4,14736,"{""kind"": ""voice"", ""latency_us"": 1318}"
47530000,voice_frame_generated,5,14737,"{""sequence"": 2376}"
47530000,queue_depth,5,,"{""depth"": 1}"
47530000,tx_start,5,14737,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47531316,packet_delivered,5,14737,"{""kind"": ""voice"", ""latency_us"": 1318}"
47532500,voice_frame_generated,6,14738,"{""sequence"": 2376}"
47532500,queue_depth,6,,"{""depth"": 1}"
47532500,tx_start,6,14738,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47533816,packet_delivered,6,14738,"{""kind"": ""voice"", ""latency_us"": 1318}"
47540000,voice_frame_generated,1,14739,"{""sequence"": 2377}"
47540000,queue_depth,1,,"{""depth"": 1}"
47540000,tx_start,1,14739,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47541316,packet_delivered,1,14739,"{""kind"": ""voice"", ""latency_us"": 1318}"
47542500,voice_frame_generated,2,14740,"{""sequence"": 2377}"
47542500,queue_depth,2,,"{""depth"": 1}"
47542500,tx_start,2,14740,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47543816,packet_delivered,2,14740,"{""kind"": ""voice"", ""latency_us"": 1318}"
47545000,voice_frame_generated,3,14741,"{""sequence"": 2377}"
47545000,queue_depth,3,,"{""depth"": 1}"
47545000,tx_start,3,14741,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47546316,packet_delivered,3,14741,"{""kind"": ""voice"", ""latency_us"": 1318}"
47547500,voice_frame_generated,4,14742,"{""sequence"": 2377}"
47547500,queue_depth,4,,"{""depth"": 1}"
47547500,tx_start,4,14742,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47548816,packet_delivered,4,14742,"{""kind"": ""voice"", ""latency_us"": 1318}"
47550000,voice_frame_generated,5,14743,"{""sequence"": 2377}"
47550000,queue_depth,5,,"{""depth"": 1}"
47550000,tx_start,5,14743,"{""airtime_us"": 1316, ""kind"": ""voice""}"
47551316,packet_delivered,5,14743,"{""kind"": ""voice"", ""latency_us"": 1318}"
47552500,voice_frame_generated,6,14744,"{""sequence"": 2377}"
47552500,queue_depth,6,,"{""depth"": 1}"
47552500,tx_start,6,14744,"{""airtime_us"": 1316, ""kind"": ""voice""}"
