time_us,event,node_id,packet_id,details_json
362500,collision_detected,6,114,"{""with_packet_id"": 113}"
362500,tx_start,6,114,"{""airtime_us"": 1316}"
362816,packet_collided,4,112,{}
363316,packet_collided,5,113,{}
363816,packet_collided,6,114,{}
380000,voice_frame_generated,1,115,"{""sequence"": 19}"
380000,tx_start,1,115,"{""airtime_us"": 1316}"
380500,voice_frame_generated,2,116,"{""sequence"": 19}"
380500,collision_detected,2,116,"{""with_packet_id"": 115}"
380500,tx_start,2,116,"{""airtime_us"": 1316}"
381000,voice_frame_generated,3,117,"{""sequence"": 19}"
381000,collision_detected,3,117,"{""with_packet_id"": 115}"
381000,collision_detected,3,117,"{""with_packet_id"": 116}"
381000,tx_start,3,117,"{""airtime_us"": 1316}"
381316,packet_collided,1,115,{}
381500,voice_frame_generated,4,118,"{""sequence"": 19}"
381500,collision_detected,4,118,"{""with_packet_id"": 116}"
381500,collision_detected,4,118,"{""with_packet_id"": 117}"
381500,tx_start,4,118,"{""airtime_us"": 1316}"
381816,packet_collided,2,116,{}
382000,voice_frame_generated,5,119,"{""sequence"": 19}"
382000,collision_detected,5,119,"{""with_packet_id"": 117}"
382000,collision_detected,5,119,"{""with_packet_id"": 118}"
382000,tx_start,5,119,"{""airtime_us"": 1316}"
382316,packet_collided,3,117,{}
382500,voice_frame_generated,6,120,"{""sequence"": 19}"
382500,collision_detected,6,120,"{""with_packet_id"": 118}"
382500,collision_detected,6,120,"{""with_packet_id"": 119}"
382500,tx_start,6,120,"{""airtime_us"": 1316}"
382816,packet_collided,4,118,{}
383316,packet_collided,5,119,{}
383816,packet_collided,6,120,{}
400000,voice_frame_generated,1,121,"{""sequence"": 20}"
400000,tx_start,1,121,"{""airtime_us"": 1316}"
400500,voice_frame_generated,2,122,"{""sequence"": 20}"
400500,collision_detected,2,122,"{""with_packet_id"": 121}"
400500,tx_start,2,122,"{""airtime_us"": 1316}"
401000,voice_frame_generated,3,123,"{""sequence"": 20}"
401000,collision_detected,3,123,"{""with_packet_id"": 121}"
401000,collision_detected,3,123,"{""with_packet_id"": 122}"
401000,tx_start,3,123,"{""airtime_us"": 1316}"
401316,packet_collided,1,121,{}
401500,voice_frame_generated,4,124,"{""sequence"": 20}"
401500,collision_detected,4,124,"{""with_packet_id"": 122}"
401500,collision_detected,4,124,"{""with_packet_id"": 123}"
401500,tx_start,4,124,"{""airtime_us"": 1316}"
401816,packet_collided,2,122,{}
402000,voice_frame_generated,5,125,"{""sequence"": 20}"
402000,collision_detected,5,125,"{""with_packet_id"": 123}"
402000,collision_detected,5,125,"{""with_packet_id"": 124}"
402000,tx_start,5,125,"{""airtime_us"": 1316}"
402316,packet_collided,3,123,{}
402500,voice_frame_generated,6,126,"{""sequence"": 20}"
402500,collision_detected,6,126,"{""with_packet_id"": 124}"
402500,collision_detected,6,126,"{""with_packet_id"": 125}"
402500,tx_start,6,126,"{""airtime_us"": 1316}"
402816,packet_collided,4,124,{}
403316,packet_collided,5,125,{}
403816,packet_collided,6,126,{}
420000,voice_frame_generated,1,127,"{""sequence"": 21}"
420000,tx_start,1,127,"{""airtime_us"": 1316}"
420500,voice_frame_generated,2,128,"{""sequence"": 21}"
420500,collision_detected,2,128,"{""with_packet_id"": 127}"
420500,tx_start,2,128,"{""airtime_us"": 1316}"
421000,voice_frame_generated,3,129,"{""sequence"": 21}"
421000,collision_detected,3,129,"{""with_packet_id"": 127}"
421000,collision_detected,3,129,"{""with_packet_id"": 128}"
421000,tx_start,3,129,"{""airtime_us"": 1316}"
421316,packet_collided,1,127,{}
421500,voice_frame_generated,4,130,"{""sequence"": 21}"
421500,collision_detected,4,130,"{""with_packet_id"": 128}"
421500,collision_detected,4,130,"{""with_packet_id"": 129}"
421500,tx_start,4,130,"{""airtime_us"": 1316}"
421816,packet_collided,2,128,{}
422000,voice_frame_generated,5,131,"{""sequence"": 21}"
